timestep,Earth x,Earth y,Earth z,Moon x,Moon y,Moon z
55000.0,56392.00579300125,3083.086758669984,0.0,357947654.3017979,59325984.64880468,0.0
55100.0,56596.335720715644,3099.906730531157,0.0,357928261.03849804,59432588.23976833,0.0
55200.0,56801.03316791067,3116.787734032553,0.0,357908832.89336693,59539186.03812645,0.0
55300.0,57006.09812017214,3133.729879584679,0.0,357889369.86777264,59645778.03339981,0.0
55400.0,57211.530563059394,3150.733277597168,0.0,357869871.9630858,59752364.21510928,0.0
55500.0,57417.33048210529,3167.7980384787784,0.0,357850339.1806794,59858944.57277578,0.0
55600.0,57623.49786281619,3184.9242726373905,0.0,357830771.52192914,59965519.09592034,0.0
55700.0,57830.032690672,3202.1120904800064,0.0,357811168.9882132,60072087.77406406,0.0
55800.0,58036.93495112611,3219.361602412747,0.0,357791531.5809121,60178650.59672812,0.0
55900.0,58244.20462960543,3236.67291884085,0.0,357771859.30140907,60285207.55343381,0.0
56000.0,58451.841711510395,3254.0461501686696,0.0,357752152.1510897,60391758.63370248,0.0
56100.0,58659.84618221493,3271.4814067996726,0.0,357732410.1313423,60498303.82705556,0.0
56200.0,58868.21802706648,3288.9787991364374,0.0,357712633.24355745,60604843.12301458,0.0
56300.0,59076.95723138599,3306.538437580653,0.0,357692821.4891284,60711376.51110114,0.0
56400.0,59286.063780467906,3324.160432533115,0.0,357672974.8694509,60817903.98083695,0.0
56500.0,59495.53765958018,3341.844894393726,0.0,357653093.3859232,60924425.521743774,0.0
56600.0,59705.378853964256,3359.591933561492,0.0,357633177.039946,61030941.12334348,0.0
56700.0,59915.58734883508,3377.401660434522,0.0,357613225.83292264,61137450.77515802,0.0
56800.0,60126.16312938109,3395.2741854100245,0.0,357593239.76625884,61243954.46670942,0.0
56900.0,60337.10618076423,3413.209618884307,0.0,357573218.84136295,61350452.1875198,0.0
57000.0,60548.41648811993,3431.208071252773,0.0,357553163.0596458,61456943.92711137,0.0
57100.0,60760.09403655711,3449.269652909921,0.0,357533072.42252064,61563429.67500642,0.0
57200.0,60972.13881115817,3467.3944742493422,0.0,357512946.9314034,61669909.42072732,0.0
57300.0,61184.55079697901,3485.5826456637183,0.0,357492786.5877124,61776383.15379654,0.0
57400.0,61397.32997904901,3503.8342775448205,0.0,357472591.3928686,61882850.86373662,0.0
57500.0,61610.47634237104,3522.149480283507,0.0,357452361.3482953,61989312.540070206,0.0
57600.0,61823.98987192144,3540.5283642697204,0.0,357432096.45541847,62095768.17232002,0.0
57700.0,62037.870552650034,3558.971039892488,0.0,357411796.71566653,62202217.75000887,0.0
57800.0,62252.11836948013,3577.4776175399174,0.0,357391462.13047045,62308661.262659654,0.0
57900.0,62466.7333073085,3596.048207599196,0.0,357371092.7012637,62415098.69979536,0.0
58000.0,62681.715351005405,3614.6829204565884,0.0,357350688.4294823,62521530.05093905,0.0
58100.0,62897.064485414565,3633.381866497435,0.0,357330249.3165647,62627955.3056139,0.0
58200.0,63112.78069535318,3652.145156106151,0.0,357309775.3639519,62734374.45334314,0.0
58300.0,63328.86396561192,3670.972899666221,0.0,357289266.5730875,62840787.48365011,0.0
58400.0,63545.31428095491,3689.865207560202,0.0,357268722.9454176,62947194.38605825,0.0
58500.0,63762.13162611975,3708.8221901697184,0.0,357248144.48239064,63053595.15009105,0.0
58600.0,63979.3159858175,3727.84395787546,0.0,357227531.1854578,63159989.76527213,0.0
58700.0,64196.86734473269,3746.9306210571813,0.0,357206883.0560727,63266378.22112517,0.0
58800.0,64414.78568752329,3766.082290093699,0.0,357186200.0956915,63372760.507173955,0.0
58900.0,64633.070998820745,3785.2990753628906,0.0,357165482.3057728,63479136.612942345,0.0
59000.0,64851.72326322996,3804.581087241691,0.0,357144729.68777776,63585506.5279543,0.0
59100.0,65070.74246532926,3823.9284361060927,0.0,357123942.24317014,63691870.24173388,0.0
59200.0,65290.12858967047,3843.3412323311422,0.0,357103119.9734161,63798227.74380521,0.0
59300.0,65509.88162077884,3862.8195862909392,0.0,357082262.8799844,63904579.02369251,0.0
59400.0,65730.00154315306,3882.363608358634,0.0,357061370.96434623,64010924.07092011,0.0
59500.0,65950.48834126529,3901.9734089064254,0.0,357040444.2279754,64117262.87501241,0.0
59600.0,66171.3419995611,3921.6490983055596,0.0,357019482.67234826,64223595.42549392,0.0
59700.0,66392.56250245955,3941.3907869263276,0.0,356998486.2989436,64329921.711889215,0.0
59800.0,66614.1498343531,3961.198585138063,0.0,356977455.1092427,64436241.72372298,0.0
59900.0,66836.10397960767,3981.0726033091423,0.0,356956389.1047294,64542555.45051998,0.0
